"n","time1","time2","time3","time4","time5"
100,11.1858122348785,10.2174601554871,11.3260505199432,9.75000524520874,10.8015041351318
200,124.860249042511,119.241480827332,113.231748580933,119.506019115448,117.405230283737
300,135.623613357544,137.688229084015,138.875582456589,137.147200345993,130.199183940887
400,145.18218421936,143.95717716217,140.455169916153,141.965942382812,144.04190325737
500,151.318718671799,153.962404966354,151.406473398209,153.426632881165,156.953737974167
600,163.627590656281,161.467364549637,166.088997602463,162.278956890106,163.476908922195
700,169.121263742447,170.598677635193,169.436769723892,168.995332956314,168.886060237885
800,178.354654550552,181.363882303238,177.512541055679,176.307440042496,176.878376483917
900,186.586936712265,186.87296795845,185.227305650711,184.641093730927,185.925736188889
1000,194.270473480225,192.214715480804,192.889670372009,194.455101490021,190.074799060822
2000,362.974105596542,368.086245536804,368.291830539703,309.656334400177,237.119474172592
3000,520.050092458725,526.902535200119,531.795074224472,527.906901836395,531.832189559937
4000,1005.62343192101,1011.65149974823,1087.09496569633,1119.17843842506,1110.92784309387
5000,1997.04472112656,2004.39242124557,1955.20200204849,2024.39011621475,2006.88010597229
